enunciado,curso,opcionA,opcionB,opcionC,opcionD,opcionE,respuestaCorrecta
Cuanto es 2 mas 2,Matematicas,2,3,4,5,6,C
Quien escribio Don Quijote,Literatura,Miguel de Cervantes,Gabriel Garcia Marquez,Mario Vargas Llosa,Pablo Neruda,Jorge Luis Borges,A
Cual es la capital de Francia,Historia,Madrid,Londres,Paris,Roma,Berlin,C
Que estudia la biologia,Biologia,Los seres vivos,Las rocas,Los planetas,Los numeros,Las maquinas,A
Cual es la formula del agua,Quimica,H2O,CO2,NaCl,O2,CH4,A
Que gas es esencial para la respiracion,Biologia,Oxigeno,Nitrogeno,Dioxido de carbono,Hidrogeno,Helio,A
Quien escribio Cien anos de soledad,Literatura,Gabriel Garcia Marquez,Mario Vargas Llosa,Julio Cortazar,Carlos Fuentes,Isabel Allende,A
Cual es la capital del Peru,Geografia,Lima,Cusco,Arequipa,Trujillo,Piura,A
Cuanto es 5 multiplicado por 8,Matematicas,35,40,45,50,55,B
Que planeta es conocido como el planeta rojo,Ciencias,Marte,Venus,Jupiter,Saturno,Mercurio,A
En que ano llego Colon a America,Historia,1492,1491,1493,1500,1485,A
Cual es la unidad basica de la materia,Quimica,Atomo,Molecula,Electron,Proton,Neutron,A
Quien escribio Romeo y Julieta,Literatura,William Shakespeare,Charles Dickens,Jane Austen,Oscar Wilde,George Orwell,A
Cual es el oceano mas grande del mundo,Geografia,Pacifico,Atlantico,Indico,Artico,Antartico,A
Cuanto es la raiz cuadrada de 144,Matematicas,10,11,12,13,14,C
